TRANSACTION_COMPLETE_DATE	TRANSACTION_TYPE	ORDER_ID	ITEM_NAME	SALE_DEPART_COUNTRY	SALE_ARRIVAL_COUNTRY	TAX_REPORTING_SCHEME	TAXABLE_JURISDICTION	BUYER_COUNTRY	TOTAL_ACTIVITY_VALUE_AMT_VAT_EXCL	TOTAL_ACTIVITY_VALUE_VAT_AMT	TOTAL_ACTIVITY_VALUE_AMT_VAT_INCL	PRICE_ITEMS_VAT_EXCL_AMT	PRICE_ITEMS_VAT_AMT	PRICE_ITEMS_VAT_INCL_AMT	SHIPPING_VALUE_VAT_EXCL_AMT	SHIPPING_VALUE_VAT_AMT	SHIPPING_VALUE_VAT_INCL_AMT	GIFT_WRAP_VALUE_VAT_EXCL_AMT	GIFT_WRAP_VALUE_VAT_AMT	TOTAL_PRICE_OF_ITEMS_AMT_VAT_INCL	TRANSACTION_CURRENCY_CODE	EXCHANGE_RATE	VAT_RATE_PERCENT	TAX_COLLECTION_MODEL	TAX_COLLECTION_RESPONSIBILITY	COST_PRICE_OF_ITEMS	BUYER_VAT_NUMBER	SHIP_FROM_COUNTRY	SHIP_TO_COUNTRY	FULFILLMENT_CHANNEL
2026-01-01 03:16:00	Sale	435-6882465-5908558	17x B09HM94V6G - Logitech MX Master 3S Wireless Mouse	DE	IT	B2B_INTRA_COMMUNITY	IT	IT	1867.97	0.0	1867.97	1853.0	0.0	1853.0	14.97	0.0	14.97	0.0	0.0	1853.0	EUR	1.0	0.0	Seller	Seller	595.0	IT95297604273	DE	IT	AFN
2026-01-01 03:38:00	Inbound		4x B084GBC5Y2 - Nespresso Vertuo Next Coffee Machine	FR	FR				596.0	0.0	596.0	596.0	0.0	596.0	0.0	0.0	0.0	0.0	0.0	596.0	EUR	1.0	0.0			240.0		FR	FR	
2026-01-01 03:42:00	Sale	494-8910102-9366783	15x B08LG2X98F - Anker PowerBank 20000mAh	DE	IT	B2B_INTRA_COMMUNITY	IT	IT	599.85	0.0	599.85	599.85	0.0	599.85	0.0	0.0	0.0	0.0	0.0	599.85	EUR	1.0	0.0	Seller	Seller	187.5	IT35365958437	DE	IT	AFN
2026-01-01 03:56:00	Sale	408-6733687-3528003	25x B073JYC4XM - SanDisk 128GB Ultra MicroSDXC	FR	DE	B2B_INTRA_COMMUNITY	DE	DE	499.75	0.0	499.75	499.75	0.0	499.75	0.0	0.0	0.0	0.0	0.0	499.75	EUR	1.0	0.0	Seller	Seller	125.0	DE791109758	FR	DE	AFN
2026-01-01 04:15:00	FC_Transfer		4x B09HM94V6G - Logitech MX Master 3S Wireless Mouse	FR	ES	INTRA_COMMUNITY	ES		436.0	0.0	436.0	436.0	0.0	436.0	0.0	0.0	0.0	0.0	0.0	436.0	EUR	1.0	0.0	Seller	Seller	140.0		FR	ES	AFN
2026-01-01 04:56:00	FC_Transfer		2x B09B8V1C6A - Echo Dot (5th Gen) - Smart Speaker	FR	DE	INTRA_COMMUNITY	DE		119.98	0.0	119.98	119.98	0.0	119.98	0.0	0.0	0.0	0.0	0.0	119.98	EUR	1.0	0.0	Seller	Seller	30.0		FR	DE	AFN
2026-01-01 05:00:00	Refund	456-2769169-5025573	1x B09B8V1C6A - Echo Dot (5th Gen) - Smart Speaker	FR	IT	UNION-OSS	IT	IT	-49.17	-10.82	-59.99	-49.17	-10.82	-59.99	-0.0	-0.0	-0.0	0.0	0.0	-59.99	EUR	1.0	22.0	Seller	Seller	15.0		FR	IT	AFN
2026-01-01 05:10:00	Sale	499-1028389-3826345	"2x B09TMN584B - Kindle Paperwhite (16 GB) - 6.8"" display"	FR	GB	REGULAR	GB	GB	240.82	48.16	288.98	240.82	48.16	288.98	0.0	0.0	0.0	0.0	0.0	288.98	GBP	1.17647	20.0	MarketplaceFacilitator	Amazon	90.0		FR	GB	AFN
2026-01-01 05:26:00	Sale	422-9057981-1257183	3x B0932Q6M4B - Apple AirTag (4 Pack)	PL	PL	REGULAR	PL	PL	1253.85	288.39	1542.24	1253.85	288.39	1542.24	0.0	0.0	0.0	0.0	0.0	1542.24	PLN	0.23148	23.0	Seller	Seller	144.0		PL	PL	AFN
2026-01-01 05:44:00	Sale	418-4160699-8944758	10x B08C56KX2F - Sony WH-1000XM4 Noise Canceling Headphones	DE	FR	UNION-OSS	FR	FR	2087.48	417.49	2504.97	2075.0	415.0	2490.0	12.48	2.49	14.97	0.0	0.0	2490.0	EUR	1.0	20.0	Seller	Seller	950.0	FRINV48422X	DE	FR	AFN
2026-01-01 05:48:00	Sale	472-4355532-4008540	9x B09B8V1C6A - Echo Dot (5th Gen) - Smart Speaker	DE	IT	B2B_INTRA_COMMUNITY	IT	IT	554.88	0.0	554.88	539.91	0.0	539.91	14.97	0.0	14.97	0.0	0.0	539.91	EUR	1.0	0.0	Seller	Seller	135.0	IT99198263840	DE	IT	AFN
2026-01-01 05:56:00	Sale	497-5410738-1622714	4x B0932Q6M4B - Apple AirTag (4 Pack)	FR	PL	UNION-OSS	PL	PL	1689.33	388.55	2077.88	1671.8	384.52	2056.32	17.53	4.03	21.56	0.0	0.0	2056.32	PLN	0.23148	23.0	Seller	Seller	192.0		FR	PL	AFN
2026-01-01 06:54:00	Sale	443-5171193-6544966	2x B08LG2X98F - Anker PowerBank 20000mAh	FR	US	NON-EU-EXPORT	US	US	87.18	0.0	87.18	87.18	0.0	87.18	0.0	0.0	0.0	0.0	0.0	87.18	USD	0.91743	0.0	Seller	Seller	25.0		FR	US	AFN
2026-01-01 06:55:00	Sale	418-7347028-6680188	1x B0932Q6M4B - Apple AirTag (4 Pack)	PL	PL	REGULAR	PL	PL	417.95	96.13	514.08	417.95	96.13	514.08	0.0	0.0	0.0	0.0	0.0	514.08	PLN	0.23148	23.0	Seller	Seller	48.0		PL	PL	AFN
2026-01-01 07:16:00	Sale	463-8391753-7336552	3x B08LG2X98F - Anker PowerBank 20000mAh	FR	PL	UNION-OSS	PL	PL	438.89	100.94	539.83	421.36	96.91	518.27	17.53	4.03	21.56	0.0	0.0	518.27	PLN	0.23148	23.0	Seller	Seller	37.5		FR	PL	AFN
2026-01-01 07:35:00	Refund	477-7789921-3511319	4x B0932Q6M4B - Apple AirTag (4 Pack)	DE	GB	REGULAR	GB	GB	-340.7	-68.14	-408.84	-337.17	-67.43	-404.6	-3.53	-0.71	-4.24	0.0	0.0	-404.6	GBP	1.17647	20.0	MarketplaceFacilitator	Amazon	192.0		DE	GB	AFN
2026-01-01 07:41:00	Sale	414-4586923-7552864	19x B09HM94V6G - Logitech MX Master 3S Wireless Mouse	FR	DE	B2B_INTRA_COMMUNITY	DE	DE	2085.97	0.0	2085.97	2071.0	0.0	2071.0	14.97	0.0	14.97	0.0	0.0	2071.0	EUR	1.0	0.0	Seller	Seller	665.0	DE965134972	FR	DE	AFN
2026-01-01 09:13:00	Sale	493-6374981-5075309	3x B084GBC5Y2 - Nespresso Vertuo Next Coffee Machine	DE	ES	UNION-OSS	ES	ES	369.42	77.58	447.0	369.42	77.58	447.0	0.0	0.0	0.0	0.0	0.0	447.0	EUR	1.0	21.0	Seller	Seller	180.0		DE	ES	AFN
2026-01-01 10:36:00	Sale	454-6971107-4066671	24x B0932Q6M4B - Apple AirTag (4 Pack)	DE	IT	B2B_INTRA_COMMUNITY	IT	IT	2856.0	0.0	2856.0	2856.0	0.0	2856.0	0.0	0.0	0.0	0.0	0.0	2856.0	EUR	1.0	0.0	Seller	Seller	1152.0	IT98717279320	DE	IT	AFN
2026-01-01 10:37:00	Sale	485-2238920-4202137	"4x B09TMN584B - Kindle Paperwhite (16 GB) - 6.8"" display"	DE	ES	UNION-OSS	ES	ES	561.95	118.01	679.96	561.95	118.01	679.96	0.0	0.0	0.0	0.0	0.0	679.96	EUR	1.0	21.0	Seller	Seller	180.0		DE	ES	AFN
2026-01-01 11:06:00	Sale	436-2254892-5841456	"4x B09TMN584B - Kindle Paperwhite (16 GB) - 6.8"" display"	FR	IT	UNION-OSS	IT	IT	557.34	122.62	679.96	557.34	122.62	679.96	0.0	0.0	0.0	0.0	0.0	679.96	EUR	1.0	22.0	Seller	Seller	180.0		FR	IT	AFN
2026-01-01 12:17:00	Sale	469-3819909-6179383	22x B073JYC4XM - SanDisk 128GB Ultra MicroSDXC	FR	DE	B2B_INTRA_COMMUNITY	DE	DE	454.75	0.0	454.75	439.78	0.0	439.78	14.97	0.0	14.97	0.0	0.0	439.78	EUR	1.0	0.0	Seller	Seller	110.0	DE186053778	FR	DE	AFN
2026-01-01 12:49:00	Sale	469-6652585-8639000	1x B084GBC5Y2 - Nespresso Vertuo Next Coffee Machine	FR	FR	REGULAR	FR	FR	124.17	24.83	149.0	124.17	24.83	149.0	0.0	0.0	0.0	0.0	0.0	149.0	EUR	1.0	20.0	Seller	Seller	60.0		FR	FR	AFN
2026-01-01 13:12:00	Sale	426-5057703-6719090	1x B08C56KX2F - Sony WH-1000XM4 Noise Canceling Headphones	PL	PL	REGULAR	PL	PL	892.07	205.17	1097.24	874.54	201.14	1075.68	17.53	4.03	21.56	0.0	0.0	1075.68	PLN	0.23148	23.0	Seller	Seller	95.0		PL	PL	AFN
2026-01-01 13:38:00	Sale	406-4167992-5836567	3x B08LG2X98F - Anker PowerBank 20000mAh	DE	SE	UNION-OSS	SE	SE	1098.93	274.73	1373.66	1098.93	274.73	1373.66	0.0	0.0	0.0	0.0	0.0	1373.66	SEK	0.08734	25.0	Seller	Seller	37.5		DE	SE	AFN
2026-01-01 13:44:00	Sale	451-3584099-6463893	3x B08C56KX2F - Sony WH-1000XM4 Noise Canceling Headphones	DE	DE	REGULAR	DE	DE	627.73	119.27	747.0	627.73	119.27	747.0	0.0	0.0	0.0	0.0	0.0	747.0	EUR	1.0	19.0	Seller	Seller	285.0		DE	DE	AFN
2026-01-01 13:45:00	FC_Transfer		3x B0932Q6M4B - Apple AirTag (4 Pack)	DE	PL	INTRA_COMMUNITY	PL		357.0	0.0	357.0	357.0	0.0	357.0	0.0	0.0	0.0	0.0	0.0	357.0	EUR	1.0	0.0	Seller	Seller	144.0		DE	PL	AFN
2026-01-01 13:57:00	Refund	433-7436404-2180998	3x B09HM94V6G - Logitech MX Master 3S Wireless Mouse	FR	IT	UNION-OSS	IT	IT	-268.03	-58.97	-327.0	-268.03	-58.97	-327.0	-0.0	-0.0	-0.0	0.0	0.0	-327.0	EUR	1.0	22.0	Seller	Seller	105.0		FR	IT	AFN
2026-01-01 14:37:00	Sale	469-2393608-4335171	1x B08C56KX2F - Sony WH-1000XM4 Noise Canceling Headphones	PL	PL	REGULAR	PL	PL	892.07	205.17	1097.24	874.54	201.14	1075.68	17.53	4.03	21.56	0.0	0.0	1075.68	PLN	0.23148	23.0	Seller	Seller	95.0		PL	PL	AFN
2026-01-01 14:37:00	Sale	442-7681452-4755015	11x B08LG2X98F - Anker PowerBank 20000mAh	DE	DE	REGULAR	DE	DE	382.24	72.62	454.86	369.66	70.23	439.89	12.58	2.39	14.97	0.0	0.0	439.89	EUR	1.0	19.0	Seller	Seller	137.5	DE512684809	DE	DE	AFN
2026-01-01 14:52:00	Sale	456-7770247-6977772	1x B09HM94V6G - Logitech MX Master 3S Wireless Mouse	FR	FR	REGULAR	FR	FR	94.99	19.0	113.99	90.83	18.17	109.0	4.16	0.83	4.99	0.0	0.0	109.0	EUR	1.0	20.0	Seller	Seller	35.0		FR	FR	AFN
2026-01-01 15:01:00	Sale	408-5411844-9032792	2x B09HM94V6G - Logitech MX Master 3S Wireless Mouse	FR	IT	UNION-OSS	IT	IT	178.69	39.31	218.0	178.69	39.31	218.0	0.0	0.0	0.0	0.0	0.0	218.0	EUR	1.0	22.0	Seller	Seller	70.0		FR	IT	AFN
2026-01-01 15:05:00	Sale	472-4743956-2127365	6x B09HM94V6G - Logitech MX Master 3S Wireless Mouse	FR	DE	B2B_INTRA_COMMUNITY	DE	DE	668.97	0.0	668.97	654.0	0.0	654.0	14.97	0.0	14.97	0.0	0.0	654.0	EUR	1.0	0.0	Seller	Seller	210.0	DE645999379	FR	DE	AFN
2026-01-01 15:19:00	Sale	497-9020555-7474477	4x B08LG2X98F - Anker PowerBank 20000mAh	FR	IT	UNION-OSS	IT	IT	135.2	29.75	164.95	131.11	28.85	159.96	4.09	0.9	4.99	0.0	0.0	159.96	EUR	1.0	22.0	Seller	Seller	50.0		FR	IT	AFN
2026-01-01 15:25:00	Refund	455-7308593-5705246	3x B08C56KX2F - Sony WH-1000XM4 Noise Canceling Headphones	FR	FR	REGULAR	FR	FR	-622.5	-124.5	-747.0	-622.5	-124.5	-747.0	-0.0	-0.0	-0.0	0.0	0.0	-747.0	EUR	1.0	20.0	Seller	Seller	285.0		FR	FR	AFN
2026-01-01 15:42:00	Refund	464-3465958-1733964	2x B0932Q6M4B - Apple AirTag (4 Pack)	DE	GB	REGULAR	GB	GB	-168.58	-33.72	-202.3	-168.58	-33.72	-202.3	-0.0	-0.0	-0.0	0.0	0.0	-202.3	GBP	1.17647	20.0	MarketplaceFacilitator	Amazon	96.0		DE	GB	AFN
2026-01-01 15:51:00	Sale	441-8300207-3565497	22x B09HM94V6G - Logitech MX Master 3S Wireless Mouse	FR	DE	B2B_INTRA_COMMUNITY	DE	DE	2412.97	0.0	2412.97	2398.0	0.0	2398.0	14.97	0.0	14.97	0.0	0.0	2398.0	EUR	1.0	0.0	Seller	Seller	770.0	DE908990196	FR	DE	AFN
2026-01-01 15:56:00	Refund	430-7646330-1073866	15x B073JYC4XM - SanDisk 128GB Ultra MicroSDXC	FR	DE	B2B_INTRA_COMMUNITY	DE	DE	-299.85	-0.0	-299.85	-299.85	-0.0	-299.85	-0.0	-0.0	-0.0	0.0	0.0	-299.85	EUR	1.0	0.0	Seller	Seller	75.0	DE908734031	FR	DE	AFN
2026-01-01 16:55:00	Sale	485-5020008-9319680	7x B09B8V1C6A - Echo Dot (5th Gen) - Smart Speaker	FR	IT	UNION-OSS	IT	IT	344.2	75.73	419.93	344.2	75.73	419.93	0.0	0.0	0.0	0.0	0.0	419.93	EUR	1.0	22.0	Seller	Seller	105.0	ITINV47760X	FR	IT	AFN
2026-01-01 16:56:00	Sale	452-5289448-7903914	3x B09B8V1C6A - Echo Dot (5th Gen) - Smart Speaker	DE	DE	REGULAR	DE	DE	151.24	28.73	179.97	151.24	28.73	179.97	0.0	0.0	0.0	0.0	0.0	179.97	EUR	1.0	19.0	Seller	Seller	45.0		DE	DE	AFN
2026-01-01 17:06:00	Sale	494-4868863-2318714	7x B084GBC5Y2 - Nespresso Vertuo Next Coffee Machine	FR	PL	B2B_INTRA_COMMUNITY	PL	PL	4505.76	0.0	4505.76	4505.76	0.0	4505.76	0.0	0.0	0.0	0.0	0.0	4505.76	PLN	0.23148	0.0	Seller	Seller	420.0	PL4026878438	FR	PL	AFN
2026-01-01 17:06:00	Sale	489-5785834-9888516	1x B08LG2X98F - Anker PowerBank 20000mAh	DE	GB	REGULAR	GB	GB	28.33	5.66	33.99	28.33	5.66	33.99	0.0	0.0	0.0	0.0	0.0	33.99	GBP	1.17647	20.0	MarketplaceFacilitator	Amazon	12.5		DE	GB	AFN
2026-01-01 17:39:00	Refund	438-7140071-5553078	15x B08LG2X98F - Anker PowerBank 20000mAh	FR	DE	B2B_INTRA_COMMUNITY	DE	DE	-614.82	-0.0	-614.82	-599.85	-0.0	-599.85	-14.97	-0.0	-14.97	0.0	0.0	-599.85	EUR	1.0	0.0	Seller	Seller	187.5	DE671245191	FR	DE	AFN
2026-01-01 17:45:00	Sale	499-7648341-3213969	1x B073JYC4XM - SanDisk 128GB Ultra MicroSDXC	FR	FR	REGULAR	FR	FR	16.66	3.33	19.99	16.66	3.33	19.99	0.0	0.0	0.0	0.0	0.0	19.99	EUR	1.0	20.0	Seller	Seller	5.0		FR	FR	AFN
2026-01-01 17:55:00	Sale	405-6266704-8238652	6x B084GBC5Y2 - Nespresso Vertuo Next Coffee Machine	FR	IT	UNION-OSS	IT	IT	732.79	161.21	894.0	732.79	161.21	894.0	0.0	0.0	0.0	0.0	0.0	894.0	EUR	1.0	22.0	Seller	Seller	360.0	ITINV88317X	FR	IT	AFN
2026-01-01 18:04:00	Sale	438-7712096-7094056	5x B084GBC5Y2 - Nespresso Vertuo Next Coffee Machine	DE	FR	UNION-OSS	FR	FR	633.31	126.66	759.97	620.83	124.17	745.0	12.48	2.49	14.97	0.0	0.0	745.0	EUR	1.0	20.0	Seller	Seller	300.0	FRINV52199X	DE	FR	AFN
2026-01-01 18:15:00	Sale	493-5240603-3078905	20x B09B8V1C6A - Echo Dot (5th Gen) - Smart Speaker	FR	DE	B2B_INTRA_COMMUNITY	DE	DE	1199.8	0.0	1199.8	1199.8	0.0	1199.8	0.0	0.0	0.0	0.0	0.0	1199.8	EUR	1.0	0.0	Seller	Seller	300.0	DE205544501	FR	DE	AFN
2026-01-01 18:26:00	Refund	431-9964536-9701657	1x B09HM94V6G - Logitech MX Master 3S Wireless Mouse	FR	FR	REGULAR	FR	FR	-90.83	-18.17	-109.0	-90.83	-18.17	-109.0	-0.0	-0.0	-0.0	0.0	0.0	-109.0	EUR	1.0	20.0	Seller	Seller	35.0		FR	FR	AFN
2026-01-01 19:09:00	FC_Transfer		3x B09B8V1C6A - Echo Dot (5th Gen) - Smart Speaker	FR	DE	INTRA_COMMUNITY	DE		179.97	0.0	179.97	179.97	0.0	179.97	0.0	0.0	0.0	0.0	0.0	179.97	EUR	1.0	0.0	Seller	Seller	45.0		FR	DE	AFN
2026-01-01 19:13:00	Sale	440-6731118-1936119	4x B08LG2X98F - Anker PowerBank 20000mAh	DE	DE	REGULAR	DE	DE	134.42	25.54	159.96	134.42	25.54	159.96	0.0	0.0	0.0	0.0	0.0	159.96	EUR	1.0	19.0	Seller	Seller	50.0		DE	DE	AFN
2026-01-01 19:16:00	Sale	465-7705217-9113842	2x B09B8V1C6A - Echo Dot (5th Gen) - Smart Speaker	DE	ES	UNION-OSS	ES	ES	99.16	20.82	119.98	99.16	20.82	119.98	0.0	0.0	0.0	0.0	0.0	119.98	EUR	1.0	21.0	Seller	Seller	30.0		DE	ES	AFN
2026-01-01 19:40:00	FC_Transfer		2x B09B8V1C6A - Echo Dot (5th Gen) - Smart Speaker	FR	ES	INTRA_COMMUNITY	ES		119.98	0.0	119.98	119.98	0.0	119.98	0.0	0.0	0.0	0.0	0.0	119.98	EUR	1.0	0.0	Seller	Seller	30.0		FR	ES	AFN
2026-01-01 19:47:00	FC_Transfer		4x B09HM94V6G - Logitech MX Master 3S Wireless Mouse	FR	ES	INTRA_COMMUNITY	ES		436.0	0.0	436.0	436.0	0.0	436.0	0.0	0.0	0.0	0.0	0.0	436.0	EUR	1.0	0.0	Seller	Seller	140.0		FR	ES	AFN
2026-01-01 21:54:00	Sale	483-2059449-9007073	"3x B09TMN584B - Kindle Paperwhite (16 GB) - 6.8"" display"	FR	US	NON-EU-EXPORT	US	US	555.87	0.0	555.87	555.87	0.0	555.87	0.0	0.0	0.0	0.0	0.0	555.87	USD	0.91743	0.0	Seller	Seller	135.0		FR	US	AFN
2026-01-01 22:12:00	Refund	449-2426250-1406270	1x B073JYC4XM - SanDisk 128GB Ultra MicroSDXC	DE	GB	REGULAR	GB	GB	-14.16	-2.83	-16.99	-14.16	-2.83	-16.99	-0.0	-0.0	-0.0	0.0	0.0	-16.99	GBP	1.17647	20.0	MarketplaceFacilitator	Amazon	5.0		DE	GB	AFN
2026-01-01 22:17:00	Sale	413-2244527-7939452	16x B08C56KX2F - Sony WH-1000XM4 Noise Canceling Headphones	FR	FR	REGULAR	FR	FR	3320.0	664.0	3984.0	3320.0	664.0	3984.0	0.0	0.0	0.0	0.0	0.0	3984.0	EUR	1.0	20.0	Seller	Seller	1520.0	FR33769722499	FR	FR	AFN
2026-01-01 22:37:00	Refund	485-8170187-6998931	22x B09B8V1C6A - Echo Dot (5th Gen) - Smart Speaker	FR	DE	B2B_INTRA_COMMUNITY	DE	DE	-1319.78	-0.0	-1319.78	-1319.78	-0.0	-1319.78	-0.0	-0.0	-0.0	0.0	0.0	-1319.78	EUR	1.0	0.0	Seller	Seller	330.0	DE307550129	FR	DE	AFN
2026-01-01 22:46:00	Sale	446-6238031-1324797	22x B084GBC5Y2 - Nespresso Vertuo Next Coffee Machine	DE	IT	B2B_INTRA_COMMUNITY	IT	IT	3278.0	0.0	3278.0	3278.0	0.0	3278.0	0.0	0.0	0.0	0.0	0.0	3278.0	EUR	1.0	0.0	Seller	Seller	1320.0	IT84002256961	DE	IT	AFN
2026-01-01 23:13:00	Sale	416-4098134-9484383	2x B09HM94V6G - Logitech MX Master 3S Wireless Mouse	DE	ES	UNION-OSS	ES	ES	180.17	37.83	218.0	180.17	37.83	218.0	0.0	0.0	0.0	0.0	0.0	218.0	EUR	1.0	21.0	Seller	Seller	70.0		DE	ES	AFN
2026-01-01 23:40:00	Sale	468-8271582-7458458	10x B073JYC4XM - SanDisk 128GB Ultra MicroSDXC	FR	DE	B2B_INTRA_COMMUNITY	DE	DE	214.87	0.0	214.87	199.9	0.0	199.9	14.97	0.0	14.97	0.0	0.0	199.9	EUR	1.0	0.0	Seller	Seller	50.0	DE349485735	FR	DE	AFN
2026-01-01 23:48:00	FC_Transfer		2x B084GBC5Y2 - Nespresso Vertuo Next Coffee Machine	DE	PL	INTRA_COMMUNITY	PL		298.0	0.0	298.0	298.0	0.0	298.0	0.0	0.0	0.0	0.0	0.0	298.0	EUR	1.0	0.0	Seller	Seller	120.0		DE	PL	AFN
2026-01-01 23:50:00	FC_Transfer		3x B073JYC4XM - SanDisk 128GB Ultra MicroSDXC	DE	PL	INTRA_COMMUNITY	PL		59.97	0.0	59.97	59.97	0.0	59.97	0.0	0.0	0.0	0.0	0.0	59.97	EUR	1.0	0.0	Seller	Seller	15.0		DE	PL	AFN
2026-01-02 00:34:00	Sale	461-4798033-5839896	10x B08C56KX2F - Sony WH-1000XM4 Noise Canceling Headphones	FR	DE	B2B_INTRA_COMMUNITY	DE	DE	2504.97	0.0	2504.97	2490.0	0.0	2490.0	14.97	0.0	14.97	0.0	0.0	2490.0	EUR	1.0	0.0	Seller	Seller	950.0	DE693010088	FR	DE	AFN
